day,hour,minute,driver,duration
0,17,15,51,585
0,17,15,52,540
0,17,15,57,585
0,17,15,58,585
0,17,15,60,585
0,17,15,61,585
0,17,15,69,585
0,17,15,70,585
0,17,30,18,360
0,17,30,19,345
0,17,30,22,360
0,17,30,23,360
0,17,30,26,360
0,17,30,50,585
0,17,30,51,585
0,17,30,52,540
0,17,30,57,585
0,17,30,58,585
0,17,30,60,585
0,17,30,61,585
0,17,30,69,585
0,17,30,70,585
0,17,45,18,360
0,17,45,19,345
0,17,45,22,360
0,17,45,23,360
0,17,45,26,360
0,17,45,50,585
0,17,45,51,585
0,17,45,52,540
0,17,45,57,585
0,17,45,58,585
0,17,45,60,585
0,17,45,61,585
0,17,45,69,585
0,17,45,70,585
0,18,0,18,360
0,18,0,19,345
0,18,0,20,255
0,18,0,22,360
0,18,0,23,360
0,18,0,26,360
0,18,0,50,585
0,18,0,51,585
0,18,0,52,540
0,18,0,57,585
0,18,0,58,585
0,18,0,60,585
0,18,0,61,585
0,18,0,69,585
0,18,0,70,585
0,18,15,18,360
0,18,15,19,345
0,18,15,20,255
0,18,15,22,360
0,18,15,23,360
0,18,15,26,360
0,18,15,50,585
0,18,15,51,585
0,18,15,52,540
0,18,15,57,585
0,18,15,58,585
0,18,15,60,585
0,18,15,61,585
0,18,15,69,585
0,18,15,70,585
0,18,30,18,360
0,18,30,19,345
0,18,30,20,255
0,18,30,22,360
0,18,30,23,360
0,18,30,26,360
0,18,30,50,585
0,18,30,51,585
0,18,30,52,540
0,18,30,57,585
0,18,30,58,585
0,18,30,60,585
0,18,30,61,585
0,18,30,69,585
0,18,30,70,585
0,18,45,18,360
0,18,45,19,345
0,18,45,20,255
0,18,45,22,360
0,18,45,23,360
0,18,45,26,360
0,18,45,50,585
0,18,45,51,585
0,18,45,52,540
0,18,45,57,585
0,18,45,58,585
0,18,45,60,585
0,18,45,61,585
0,18,45,69,585
0,18,45,70,585
0,19,0,18,360
0,19,0,19,345
0,19,0,20,255
0,19,0,22,360
0,19,0,23,360
0,19,0,26,360
0,19,0,50,585
0,19,0,51,585
0,19,0,52,540
0,19,0,57,585
0,19,0,58,585
0,19,0,60,585
0,19,0,61,585
0,19,0,69,585
0,19,0,70,585
0,19,15,18,360
0,19,15,19,345
0,19,15,20,255
0,19,15,22,360
0,19,15,23,360
0,19,15,26,360
0,19,15,50,585
0,19,15,51,585
0,19,15,52,540
0,19,15,57,585
0,19,15,58,585
0,19,15,60,585
0,19,15,61,585
0,19,15,69,585
0,19,15,70,585
0,19,30,18,360
0,19,30,19,345
0,19,30,20,255
0,19,30,22,360
0,19,30,23,360
0,19,30,26,360
0,19,30,50,585
0,19,30,51,585
0,19,30,52,540
