day,hour,minute,demand
4,5,45,0.4293871156641366
4,6,0,0.0
4,6,15,0.0
4,6,30,0.0
4,6,45,0.0
4,7,0,0.0
4,7,15,0.0
4,7,30,0.0
4,7,45,0.0
4,8,0,0.0
4,8,15,0.0
4,8,30,0.0
4,8,45,0.0
4,9,0,0.0
4,9,15,0.0
4,9,30,0.0
4,9,45,0.0
4,10,0,0.0
4,10,15,0.0
4,10,30,0.0
4,10,45,0.0
4,11,0,0.0
4,11,15,0.0
4,11,30,0.0
4,11,45,0.0
4,12,0,1.9810828882610927
4,12,15,0.3767649096599011
4,12,30,0.0
4,12,45,0.0
4,13,0,0.0
4,13,15,0.2681074182382122
4,13,30,0.0
4,13,45,0.0
4,14,0,0.5373112960160615
4,14,15,0.0
4,14,30,0.0
4,14,45,0.0
4,15,0,0.0
4,15,15,0.4895550406439224
4,15,30,0.9834398793307536
4,15,45,0.0
4,16,0,0.0
4,16,15,0.0
4,16,30,0.0
4,16,45,0.0039722033808466
4,17,0,0.0
4,17,15,0.0
4,17,30,0.0
4,17,45,0.0
4,18,0,0.0
4,18,15,0.6934789639229206
4,18,30,0.4568212010067097
4,18,45,0.0
4,19,0,0.0
4,19,15,1.1309651233006608
4,19,30,0.9652124173877684
4,19,45,0.0
4,20,0,0.0
4,20,15,0.9264227594952118
4,20,30,0.0
4,20,45,1.004933240829244
4,21,0,3.2941052774844346
4,21,15,3.127394719761896
4,21,30,0.6785452800950708
4,21,45,4.6371073968206655
4,22,0,3.9234453353139247
4,22,15,3.844906492109077
4,22,30,10.264375617145149
4,22,45,7.248586778638713
4,23,0,13.6234177601156
4,23,15,10.40402518922486
4,23,30,15.648606525623263
4,23,45,19.17494065390612
5,0,0,11.244732229886433
5,0,15,12.260786635926618
5,0,30,12.113646858034244
5,0,45,9.929927784074591
5,1,0,11.332101583436208
5,1,15,11.357619931458297
5,1,30,5.268395000213923
5,1,45,5.0260307055672
5,2,0,11.576670180601942
5,2,15,14.743480583724915
5,2,30,12.350482325227247
5,2,45,10.670498458212316
5,3,0,11.742850152533542
5,3,15,11.329954285085432
5,3,30,12.362526352397138
5,3,45,14.089997990334478
5,4,0,12.456747499875458
5,4,15,13.189367282289046
5,4,30,10.75604918439626
5,4,45,8.047606025555977
5,5,0,6.525599389237833
5,5,15,5.657504471797233
5,5,30,5.251605824486878
5,5,45,4.375108018276372
5,6,0,0.5354495266223464
5,6,15,0.0
5,6,30,0.0
5,6,45,0.0
5,7,0,0.0
5,7,15,0.0
5,7,30,0.0
5,7,45,0.0
5,8,0,0.0
5,8,15,0.0
5,8,30,0.0
5,8,45,0.0
5,9,0,0.0
5,9,15,0.0
5,9,30,0.0
5,9,45,0.0
5,10,0,0.3617804836459171
5,10,15,0.5984130484986021
5,10,30,0.0
5,10,45,0.0
5,11,0,0.0
5,11,15,0.0
5,11,30,0.0
5,11,45,0.0
5,12,0,0.4902505826105185
5,12,15,0.0
5,12,30,0.0305099882381153
5,12,45,0.0
5,13,0,0.020902945224587
5,13,15,0.0990720207555644
5,13,30,0.0
5,13,45,0.0
5,14,0,0.482185599557841
5,14,15,0.0
5,14,30,0.0
5,14,45,0.0
5,15,0,0.0
5,15,15,0.4255079037923809
5,15,30,0.0
5,15,45,0.0
5,16,0,0.0
5,16,15,0.5580026098042421
5,16,30,0.0
5,16,45,0.312267508452209
5,17,0,2.4765929620052414
5,17,15,0.1985809283967756
5,17,30,1.714078660184885
5,17,45,0.5701632782717283
5,18,0,1.165680161822272
5,18,15,1.4770657153732667
5,18,30,2.2334736219463327
5,18,45,0.4116538188288685
5,19,0,0.3653349962526068
5,19,15,0.0
5,19,30,0.0
5,19,45,0.1166132890872424
5,20,0,2.014501870582881
5,20,15,0.0
5,20,30,0.1575346973672279
5,20,45,0.0
5,21,0,2.112222899399736
5,21,15,4.237958408541304
5,21,30,3.1497640769161017
5,21,45,8.830298763957535
5,22,0,4.956713707239707
5,22,15,10.829624610082403
5,22,30,13.023889543913048
5,22,45,9.450708062086875
5,23,0,14.33182671978442
5,23,15,16.938870262802446
5,23,30,15.779942578864478
5,23,45,14.084933592488902
6,0,0,15.279085667641688
6,0,15,10.204949096107676
6,0,30,14.860054580136334
6,0,45,13.00953146055037
6,1,0,7.021214492993003
6,1,15,9.541830645279516
6,1,30,6.1780263394524715
6,1,45,10.23119736692429
6,2,0,8.157164350012499
6,2,15,11.326882201551095
6,2,30,11.250560813247004
6,2,45,11.777253210687832
6,3,0,16.742097602430793
6,3,15,16.29056874575132
6,3,30,17.53443038751092
6,3,45,18.9731515929317
6,4,0,19.68001545907046
6,4,15,15.919130010582036
6,4,30,14.612226445178752
6,4,45,8.408757737519998
6,5,0,16.316135625002993
6,5,15,8.607050007888102
6,5,30,8.896480664691941
6,5,45,5.692584729682773
6,6,0,3.156856862136818
6,6,15,2.6492900677638427
6,6,30,2.077974505462687
6,6,45,4.813097267535023
6,7,0,3.437337724142701
6,7,15,6.061413969748857
6,7,30,0.9061430532401014
6,7,45,0.0
6,8,0,0.0
6,8,15,0.8358831763382838
6,8,30,0.0990734047556466
6,8,45,0.0
6,9,0,0.0
6,9,15,0.04976935469932
6,9,30,0.0
6,9,45,0.0
6,10,0,0.9102204206988396
6,10,15,0.0
6,10,30,0.0
6,10,45,0.0
6,11,0,0.0
6,11,15,0.0
6,11,30,0.0
6,11,45,0.0
6,12,0,0.3902550877947819
6,12,15,0.0
6,12,30,0.0
6,12,45,0.0
6,13,0,0.0642791677499199
6,13,15,0.0467946749616405
6,13,30,0.0
6,13,45,0.0
6,14,0,0.1597504128656997
6,14,15,0.0
6,14,30,0.1310793535559104
6,14,45,0.0
6,15,0,0.0
6,15,15,0.0
6,15,30,0.0
6,15,45,0.0
6,16,0,0.3053018352148914
6,16,15,0.0
6,16,30,0.0
6,16,45,0.0
6,17,0,0.0
6,17,15,0.0
6,17,30,0.0
6,17,45,0.0
6,18,0,0.0
6,18,15,0.2925562703264384
6,18,30,1.1567957587441662
6,18,45,0.0
6,19,0,0.0650086866689459
6,19,15,0.0
6,19,30,0.0
6,19,45,0.0
6,20,0,0.0
6,20,15,0.0
6,20,30,0.0
6,20,45,0.0
6,21,0,2.236535261541504
6,21,15,1.1054036117553654
6,21,30,0.0
6,21,45,0.9092427361258087
6,22,0,0.0
6,22,15,0.0
6,22,30,2.9778700231499133
6,22,45,0.0
6,23,0,0.0
6,23,15,0.0
6,23,30,0.0
6,23,45,2.061172849628335
